ID_racconto,titolo_racconto,date,q1,q3,lower,upper
S001,Passatempi,1943-04-01,29,18,16,36
S002,Dieci soldi in plastilina,1943-04-01,0,0,0,34
S003,Invece era un'altra,1943-04-01,12,0,0,12
S004,Angoscia in caserma,1945-12-01,8,11,6,35
S005,Andato al comando,1946-01-01,17,36,7,36
S006,Di padre in figlio,1946-04-01,17,34,12,34
S007,Paura sul sentiero,1946-06-01,17,16,7,27
S008,E il settimo si riposò,1946-06-01,0,8,0,30
S009,Uomo nei gerbidi,1946-06-01,17,18,5,31
S010,Campo di mine,1946-08-01,30,36,7,36
S011,I fratelli Bagnasco,1946-09-01,30,12,12,34
S012,Ragionamento del cugino,1946-09-01,12,19,4,36
S013,Cinque dopodomani: guerra finita!,1946-11-01,12,19,12,30
S014,Alba sui rami nudi,1947-01-01,27,34,5,35
S015,Come non fui Noè (Buon a nulla),1947-01-01,30,4,4,30
S016,Ultimo viene il corvo,1947-01-01,30,36,7,36
S017,Visti alla mensa,1947-01-01,31,12,5,31
S018,L'occhio del padrone,1947-03-01,27,12,5,31
S019,Come un volo d'anitre,1947-05-01,32,35,3,36
S020,La fame a Bévera,1947-05-01,6,36,6,36
S021,Furto in una pasticceria,1947-06-01,29,16,8,35
S022,Un bastimento carico di granchi,1947-07-01,14,14,14,34
S023,I figli poltroni,1948-01-01,30,11,11,31
S024,Il giardino incantato,1948-02-01,14,14,14,30
S025,Impiccagione di un giudice,1948-02-01,12,36,7,36
S026,Il bosco degli animali,1948-04-01,0,16,0,36
S027,Si dorme come cani,1948-06-01,12,16,11,34
S028,Com'era grande il mare,1948-06-01,17,35,10,35
S029,Il gatto e il poliziotto,1948-08-01,12,12,10,31
S030,Pranzo con un pastore,1948-09-01,12,12,11,35
S031,Voglia di mare,1948-10-01,0,12,0,12
S032,Isabella e Fioravanti,1948-10-01,1,16,1,31
S033,Chi ha messo la mina nel mare,1948-11-01,5,11,5,35
S034,Dollari e vecchie mondane,1948-12-01,14,12,10,31
S035,Freddo a Napoli,1949-01-01,10,12,7,35
S036,Lasciare Anna,1949-04-01,0,14,0,35
