title,x,y
Alba sui rami nudi,1947,0
Andato al comando,1946,10436
Angoscia in caserma,1945,16681
Attesa della morte in un albergo,1949,13880
Campo di mine,1946,9686
Chi ha messo la mina nel mare?,1948,7103
Come imparare a essere morto,1983,0
Dal terrazzo,1983,0
Del mordersi la lingua,1975,0
Del prendersela coi giovani,1975,0
Desiderio in novembre,1949,9870
Di padre in figlio,1946,2162
Dollari e vecchie mondane,1948,4354
Dov'è più azzurro il fiume,1963,2885
"Fumo, vento e bolle di sapone",1963,546
Funghi in città,1952,4656
Furto in una pasticceria,1947,5482
Gli amori delle tartarughe,1983,0
Gli avanguardisti a Mentone,1953,24688
I figli di Babbo Natale,1963,10772
I figli poltroni,1948,876
I fratelli Bagnasco,1946,3110
Il bosco degli animali,1948,4409
Il bosco sull'autostrada,1953,2016
Il coniglio velenoso,1954,15258
Il conte di Montecristo,1967,0
Il fischio del merlo,1975,0
Il gatto e il poliziotto,1948,1776
Il giardino dei gatti ostinati,1963,9476
Il giardino incantato,1948,412
Il gorilla albino,1980,0
Il guidatore notturno,1967,294
Il marmo e il sangue,1983,0
Il modello dei modelli,1983,0
Il mondo guarda il mondo,1982,0
Il museo dei formaggi,1983,0
Il piccione comunale,1952,3130
Il prato infinito,1983,0
"Il sangue, il mare",1967,8098
Il seno nudo,1977,5123
Impiccagione di un giudice,1948,12948
L'aiola di sabbia,1977,0
L'aria buona,1953,1154
L'avventura di due sposi,1958,7484
L'avventura di un fotografo,1955,21666
L'avventura di un impiegato,1953,8492
L'avventura di un lettore,1958,22883
L'avventura di un miope,1958,7213
L'avventura di un poeta,1958,2667
L'avventura di un soldato,1949,19741
L'avventura di un viaggiatore,1958,3877
L'avventura di una bagnante,1951,21304
L'avventura di una moglie,1958,13655
L'avventura di uno sciatore,1959,3890
L'entrata in guerra,1953,20510
L'inseguimento,1967,25983
L'invasione degli storni,1981,0
L'occhio del padrone,1947,7133
L'occhio e i pianeti,1982,0
L'ordine degli squamati,1983,0
L'universo come specchio,1983,0
La casa degli alveari,1949,0
La città smarrita nella neve,1963,7821
La città tutta per lui,1963,955
La contemplazione delle stelle,1983,0
La corsa delle giraffe,1975,0
La cura delle vespe,1953,5694
La fame a Bévera,1947,8425
La fermata sbagliata,1963,1839
La gallina di reparto,1958,0
La memoria del mondo,1967,0
La notte dei numeri,1958,0
La pancia del geco,1982,0
La pantofola spaiata,1975,0
La pietanziera,1952,3322
La pioggia e le foglie,1963,8045
La signora Paulatim,1958,12919
La spada del sole,1983,9001
La spirale,1965,6264
La stessa cosa del sangue,1949,6238
La villeggiatura in panchina,1958,7864
Le notti dell'UNPA,1954,15383
Lettura di un'onda,1975,8288
Luna di pomeriggio,1983,4495
Luna e Gnac,1957,0
Mai nessuno degli uomini lo seppe,1950,3206
Marcovaldo al supermarket,1963,1355
Paese infido,1953,11110
Paura sul sentiero,1946,1144
"Pesci grossi, pesci piccoli",1950,8100
Pranzo con un pastore,1948,0
Serpenti e teschi,1976,0
Si dorme come cani,1948,12270
Ti con zero,1966,0
Ultimo viene il corvo,1947,6694
Un bastimento carico di granchi,1947,8016
Un bel gioco dura poco,1952,11911
Un chilo e mezzo di grasso d'oca,1976,0
Un letto di passaggio,1958,9239
"Un pomeriggio, Adamo",1949,2783
"Un sabato di sole, sabbia e sonno",1963,2725
Un viaggio con le mucche,1956,4052
Uno dei tre è ancora vivo,1949,10368
Uomo nei gerbidi,1946,7853
Va' così che vai bene,1958,20127
Visti alla mensa,1947,0
